UNIDADE;UF;MES;ANO;TIPO;VALOR
100;PR;Janeiro;2025;Debito;-66.504
100;PR;Fevereiro;2025;Debito;-32.361
100;PR;Março;2025;Debito;-84.807
100;PR;Abril;2025;Debito;-24.279
100;PR;Maio;2025;Debito;-97.370
100;PR;Junho;2025;Debito;-49.306
100;PR;Julho;2025;Debito;-64.043
100;PR;Agosto;2025;Debito;-117.508
100;PR;Setembro;2025;Debito;-29.975
100;PR;Outubro;2025;Debito;-80.252
100;PR;Novembro;2025;Credito;000
100;PR;Dezembro;2025;Credito;000
108;SC;Janeiro;2025;Debito;-32.314
108;SC;Fevereiro;2025;Debito;-54.756
108;SC;Março;2025;Debito;-69.325
108;SC;Abril;2025;Debito;-43.296
108;SC;Maio;2025;Debito;-50.758
108;SC;Junho;2025;Debito;-38.069
108;SC;Julho;2025;Debito;-53.183
108;SC;Agosto;2025;Debito;-76.318
108;SC;Setembro;2025;Debito;-99.281
108;SC;Outubro;2025;Debito;-67.803
108;SC;Novembro;2025;Credito;000
108;SC;Dezembro;2025;Credito;000
116;SP;Janeiro;2025;Debito;-52.060
116;SP;Fevereiro;2025;Debito;-48.621
116;SP;Março;2025;Debito;-60.955
116;SP;Abril;2025;Debito;-56.422
116;SP;Maio;2025;Debito;-45.153
116;SP;Junho;2025;Debito;-49.498
116;SP;Julho;2025;Debito;-42.273
116;SP;Agosto;2025;Debito;-49.505
116;SP;Setembro;2025;Debito;-67.005
116;SP;Outubro;2025;Credito;-72.015
116;SP;Novembro;2025;Credito;000
116;SP;Dezembro;2025;Credito;000
127;MS;Janeiro;2025;Credito;182
127;MS;Fevereiro;2025;Debito;-8.244
127;MS;Março;2025;Debito;-98.240
127;MS;Abril;2025;Debito;-75.670
127;MS;Maio;2025;Debito;-55.878
127;MS;Junho;2025;Debito;-20.568
127;MS;Julho;2025;Debito;-36.273
127;MS;Agosto;2025;Debito;-46.536
127;MS;Setembro;2025;Debito;-29.559
127;MS;Outubro;2025;Debito;-54.322
127;MS;Novembro;2025;Credito;000
127;MS;Dezembro;2025;Credito;000
133;RJ;Janeiro;2025;Credito;5.113
133;RJ;Fevereiro;2025;Credito;8.860
133;RJ;Março;2025;Credito;9.684
133;RJ;Abril;2025;Credito;9.202
133;RJ;Maio;2025;Credito;6.578
133;RJ;Junho;2025;Credito;1.021
133;RJ;Julho;2025;Credito;3.066
133;RJ;Agosto;2025;Credito;2.654
133;RJ;Setembro;2025;Credito;1.189
133;RJ;Outubro;2025;Credito;804
133;RJ;Novembro;2025;Credito;000
133;RJ;Dezembro;2025;Credito;000
130;RSNSR;Janeiro;2025;Credito;000
130;RSNSR;Fevereiro;2025;Credito;000
130;RSNSR;Março;2025;Credito;000
130;RSNSR;Abril;2025;Credito;000
130;RSNSR;Maio;2025;Credito;000
130;RSNSR;Junho;2025;Credito;000
130;RSNSR;Julho;2025;Credito;000
130;RSNSR;Agosto;2025;Credito;000
130;RSNSR;Setembro;2025;Credito;000
130;RSNSR;Outubro;2025;Credito;000
130;RSNSR;Novembro;2025;Credito;000
130;RSNSR;Dezembro;2025;Credito;000
137;RSURU;Janeiro;2025;Credito;1.701
137;RSURU;Fevereiro;2025;Debito;-7.052
137;RSURU;Março;2025;Credito;7.644
137;RSURU;Abril;2025;Credito;8.291
137;RSURU;Maio;2025;Credito;4.362
137;RSURU;Junho;2025;Debito;-22.537
137;RSURU;Julho;2025;Credito;430
137;RSURU;Agosto;2025;Credito;5.171
137;RSURU;Setembro;2025;Debito;-2.308
137;RSURU;Outubro;2025;Debito;-4.153
137;RSURU;Novembro;2025;Credito;000
137;RSURU;Dezembro;2025;Credito;000
100;PR;Saldo Inicial;2025;Credito;000
108;SC;Saldo Inicial;2025;Credito;000
116;SP;Saldo Inicial;2025;Credito;000
127;MS;Saldo Inicial;2025;Credito;000
133;RJ;Saldo Inicial;2025;Credito;330.000
130;RSNSR;Saldo Inicial;2025;Credito;000
137;RSURU;Saldo Inicial;2025;Credito;000
100;PR;Janeiro;2024;Debito;-19.139
100;PR;Fevereiro;2024;Debito;-41.927
100;PR;Março;2024;Debito;-105.361
100;PR;Abril;2024;Debito;-131.768
100;PR;Maio;2024;Debito;-58.244
100;PR;Junho;2024;Debito;-73.416
100;PR;Julho;2024;Debito;-105.527
100;PR;Agosto;2024;Debito;-33.850
100;PR;Setembro;2024;Debito;-62.847
100;PR;Outubro;2024;Debito;-115.984
100;PR;Novembro;2024;Debito;-57.875
100;PR;Dezembro;2024;Debito;-62.775
108;SC;Janeiro;2024;Debito;-57.407
108;SC;Fevereiro;2024;Debito;-32.116
108;SC;Março;2024;Debito;-72.453
108;SC;Abril;2024;Debito;-37.129
108;SC;Maio;2024;Debito;-42.068
108;SC;Junho;2024;Debito;-49.209
108;SC;Julho;2024;Debito;-61.506
108;SC;Agosto;2024;Debito;-63.901
108;SC;Setembro;2024;Debito;-55.381
108;SC;Outubro;2024;Debito;-95.356
108;SC;Novembro;2024;Debito;-65.597
108;SC;Dezembro;2024;Debito;-67.432
116;SP;Janeiro;2024;Debito;-54.165
116;SP;Fevereiro;2024;Debito;-80.629
116;SP;Março;2024;Debito;-58.816
116;SP;Abril;2024;Debito;-61.343
116;SP;Maio;2024;Debito;-64.711
116;SP;Junho;2024;Debito;-37.615
116;SP;Julho;2024;Debito;-54.510
116;SP;Agosto;2024;Debito;-59.183
116;SP;Setembro;2024;Debito;-40.457
116;SP;Outubro;2024;Debito;-50.595
116;SP;Novembro;2024;Debito;-61.401
116;SP;Dezembro;2024;Debito;-27.359
127;MS;Janeiro;2024;Debito;-16.757
127;MS;Fevereiro;2024;Debito;-45.632
127;MS;Março;2024;Debito;-14.080
127;MS;Abril;2024;Debito;-34.874
127;MS;Maio;2024;Debito;-1.373
127;MS;Junho;2024;Credito;466
127;MS;Julho;2024;Debito;-24.644
127;MS;Agosto;2024;Debito;-32.565
127;MS;Setembro;2024;Debito;-23.878
127;MS;Outubro;2024;Debito;-16.468
127;MS;Novembro;2024;Debito;-36.793
127;MS;Dezembro;2024;Debito;-27.013
133;RJ;Janeiro;2024;Credito;3.219
133;RJ;Fevereiro;2024;Credito;4.641
133;RJ;Março;2024;Credito;11.920
133;RJ;Abril;2024;Credito;11.355
133;RJ;Maio;2024;Credito;5.678
133;RJ;Junho;2024;Credito;5.661
133;RJ;Julho;2024;Credito;5.911
133;RJ;Agosto;2024;Credito;4.300
133;RJ;Setembro;2024;Credito;7.706
133;RJ;Outubro;2024;Credito;16.748
133;RJ;Novembro;2024;Credito;16.088
133;RJ;Dezembro;2024;Debito;-319.350
130;RSNSR;Janeiro;2024;Credito;000
130;RSNSR;Fevereiro;2024;Debito;-069
130;RSNSR;Março;2024;Credito;000
130;RSNSR;Abril;2024;Credito;000
130;RSNSR;Maio;2024;Credito;000
130;RSNSR;Junho;2024;Credito;3.401
130;RSNSR;Julho;2024;Credito;000
130;RSNSR;Agosto;2024;Debito;-473
130;RSNSR;Setembro;2024;Debito;-1.344
130;RSNSR;Outubro;2024;Credito;000
130;RSNSR;Novembro;2024;Debito;-766
130;RSNSR;Dezembro;2024;Debito;-388.276
137;RSURU;Janeiro;2024;Credito;7.307
137;RSURU;Fevereiro;2024;Debito;-11.850
137;RSURU;Março;2024;Credito;12.289
137;RSURU;Abril;2024;Credito;8.715
137;RSURU;Maio;2024;Credito;608
137;RSURU;Junho;2024;Debito;-4.401
137;RSURU;Julho;2024;Debito;-16.733
137;RSURU;Agosto;2024;Debito;-4.995
137;RSURU;Setembro;2024;Credito;3.550
137;RSURU;Outubro;2024;Debito;-7.512
137;RSURU;Novembro;2024;Credito;3.811
137;RSURU;Dezembro;2024;Debito;-189.550
100;PR;Saldo Inicial;2024;Credito;000
108;SC;Saldo Inicial;2024;Credito;000
116;SP;Saldo Inicial;2024;Credito;000
127;MS;Saldo Inicial;2024;Credito;000
133;RJ;Saldo Inicial;2024;Credito;556.123
130;RSNSR;Saldo Inicial;2024;Credito;387.527
137;RSURU;Saldo Inicial;2024;Credito;198.761
100;PR;Janeiro;2023;Debito;-10.300
100;PR;Fevereiro;2023;Debito;-4.101
100;PR;Março;2023;Debito;-7.852
100;PR;Abril;2023;Debito;-4.519
100;PR;Maio;2023;Debito;-12.110
100;PR;Junho;2023;Debito;-3.191
100;PR;Julho;2023;Debito;-4.551
100;PR;Agosto;2023;Debito;-7.042
100;PR;Setembro;2023;Debito;-7.903
100;PR;Outubro;2023;Debito;-8.591
100;PR;Novembro;2023;Debito;-7.342
100;PR;Dezembro;2023;Debito;-63.557
108;SC;Janeiro;2023;Debito;-32.994
108;SC;Fevereiro;2023;Credito;2.693
108;SC;Março;2023;Debito;-57.526
108;SC;Abril;2023;Debito;-13.658
108;SC;Maio;2023;Debito;-8.882
108;SC;Junho;2023;Debito;-38.653
108;SC;Julho;2023;Debito;-59.638
108;SC;Agosto;2023;Debito;-42.130
108;SC;Setembro;2023;Debito;-12.965
108;SC;Outubro;2023;Debito;-19.390
108;SC;Novembro;2023;Debito;-27.905
108;SC;Dezembro;2023;Debito;-12.225
116;SP;Janeiro;2023;Debito;-75.256
116;SP;Fevereiro;2023;Debito;-40.709
116;SP;Março;2023;Debito;-50.699
116;SP;Abril;2023;Debito;-37.100
116;SP;Maio;2023;Debito;-48.451
116;SP;Junho;2023;Debito;-55.075
116;SP;Julho;2023;Debito;-60.531
116;SP;Agosto;2023;Debito;-75.821
116;SP;Setembro;2023;Debito;-76.651
116;SP;Outubro;2023;Debito;-48.957
116;SP;Novembro;2023;Debito;-65.803
116;SP;Dezembro;2023;Debito;-38.364
127;MS;Janeiro;2023;Debito;-24.147
127;MS;Fevereiro;2023;Debito;-22.772
127;MS;Março;2023;Debito;-47.850
127;MS;Abril;2023;Debito;-85.049
127;MS;Maio;2023;Debito;-51.398
127;MS;Junho;2023;Debito;-69.606
127;MS;Julho;2023;Debito;-42.497
127;MS;Agosto;2023;Debito;-61.738
127;MS;Setembro;2023;Debito;-125.202
127;MS;Outubro;2023;Debito;-49.895
127;MS;Novembro;2023;Debito;-63.552
127;MS;Dezembro;2023;Debito;-32.561
133;RJ;Janeiro;2023;Credito;1.933
133;RJ;Fevereiro;2023;Credito;7.478
133;RJ;Março;2023;Debito;-113.432
133;RJ;Abril;2023;Credito;4.806
133;RJ;Maio;2023;Credito;7.357
133;RJ;Junho;2023;Credito;5.733
133;RJ;Julho;2023;Credito;9.225
133;RJ;Agosto;2023;Credito;8.083
133;RJ;Setembro;2023;Credito;8.657
133;RJ;Outubro;2023;Credito;4.102
133;RJ;Novembro;2023;Credito;7.847
133;RJ;Dezembro;2023;Debito;-152.363
130;RSNSR;Janeiro;2023;Credito;000
130;RSNSR;Fevereiro;2023;Credito;9.030
130;RSNSR;Março;2023;Debito;-489
130;RSNSR;Abril;2023;Credito;000
130;RSNSR;Maio;2023;Credito;000
130;RSNSR;Junho;2023;Credito;33.983
130;RSNSR;Julho;2023;Credito;000
130;RSNSR;Agosto;2023;Credito;000
130;RSNSR;Setembro;2023;Credito;000
130;RSNSR;Outubro;2023;Credito;000
130;RSNSR;Novembro;2023;Debito;-079
130;RSNSR;Dezembro;2023;Credito;2.063
137;RSURU;Janeiro;2023;Debito;-18.024
137;RSURU;Fevereiro;2023;Debito;-2.504
137;RSURU;Março;2023;Credito;4.367
137;RSURU;Abril;2023;Credito;9.009
137;RSURU;Maio;2023;Debito;-743
137;RSURU;Junho;2023;Credito;4.658
137;RSURU;Julho;2023;Credito;326
137;RSURU;Agosto;2023;Debito;-3.654
137;RSURU;Setembro;2023;Debito;-46.108
137;RSURU;Outubro;2023;Debito;-2.075
137;RSURU;Novembro;2023;Debito;-19.807
137;RSURU;Dezembro;2023;Debito;-2.522
100;PR;Saldo Inicial;2023;Credito;000
108;SC;Saldo Inicial;2023;Credito;269.202
116;SP;Saldo Inicial;2023;Credito;000
127;MS;Saldo Inicial;2023;Credito;000
133;RJ;Saldo Inicial;2023;Credito;756.697
130;RSNSR;Saldo Inicial;2023;Credito;343.017
